,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
22338,33.708795,1739,51.58891025,4828,143.2267158,311730.3202,558.3281474,234.5357143,76.0,68,0.851841601,0.298275692,2.380567706,190.7945884,13.81284143,8.863707714,0.082945,0.0,1.907086842,0.641700533,1.558359309,9.37e-05,0.009678469,0.014615,2.8e-05,1.507159801,0.662228491,1
7848,4.158546,498,119.7533946,353,84.88543832,466.29,21.5937491,85.1,78.0,66,0.986396568,0.884515232,0.253745583,3.564467977,1.887979867,2.9008228,4.1330465,0.0,-1.958003454,1.536469139,0.65084288,3.137770634,1.771375351,1.03956,1.5e-05,0.586857551,1.703966439,0
20998,0.015539,171,11004.56915,105,6757.191582,338.0,18.38477631,92.0,105.0,105,-2.121320344,-0.707106781,0.199834525,5.35958e-05,0.007320916,0.010353333,0.015521,0.0,-2.117631212,1.41421285,0.707107137,0.0,0.0,0.015521,0.015521,-10.0,0.0,0
2911,33.379663,1807,54.13475864,4895,146.6461779,141408.7733,376.043579,223.4,76.0,68,1.175927538,0.413249976,1.683274749,179.4112856,13.39444981,8.157458,0.071596,0.0,1.811017724,0.609017774,1.641988204,6.98e-05,0.008353336,0.011588889,5.9e-05,1.380273529,0.72080562,1
7705,5.823202,25424,4365.982839,23174,3979.597479,18315.92421,135.3363374,148.617737,114.0,60,0.767371225,0.65479633,0.910633819,1.843025541,1.357580768,2.73919692,2.788108,0.0,-0.108084353,2.017704571,0.495612695,0.00084586,0.029083673,0.020819919,0.015568,0.180579646,1.396915733,0
7851,118.016283,513,4.346857798,381,3.228368072,365.04,19.10601999,89.4,105.0,105,-2.449489743,-0.816496581,0.21371387,2401.41714,49.00425635,53.115445,59.008167,0.0,-0.360747562,1.083894522,0.922598998,7.74e-10,2.78248e-05,0.015457333,0.015422,1.269848161,0.001800107,0
6720,0.299312,4434,14813.97338,5113,17082.50922,14770.69254,121.534738,146.8769231,105.0,66,1.033702555,0.665463426,0.827459723,0.006158797,0.078478001,0.156461677,0.166187,0.0,-0.371772585,1.993701107,0.501579698,0.000138664,0.011775554,0.013155857,4e-06,1.11687804,0.895080678,0
7636,25.53944,10870,425.6162234,12649,495.2731931,8798.723363,93.80151045,141.6807229,114.0,54,0.885296711,0.934747452,0.662062619,8.531318773,2.920842134,22.47850258,22.3246605,21.428539,0.158011359,0.359472895,0.129939355,0.000693331,0.026331178,0.021306533,0.026912,-0.212883245,1.235826489,0
20772,34.076388,2634,77.29692478,5787,169.824337,102723.4881,320.5050516,200.5,134.0,68,0.622455088,0.413410021,1.598528936,125.0913625,11.184425,5.789755857,0.097791,0.0,1.52675659,0.517662362,1.931761074,0.000716079,0.026759653,0.026860125,6e-05,1.001512436,0.996259427,1
22588,0.132415,364,2748.933278,222,1676.547219,120.9375,10.99715872,73.25,68.0,68,1.432188113,0.477396038,0.15013186,0.001872694,0.043274633,0.04653625,0.0268595,0.0,1.364084374,1.075370195,0.929912327,0.000158384,0.01258509,0.017829,3.1e-05,1.414213202,0.705877486,1
